# (c) Der Bundeswahlleiter, Wiesbaden 2017
# 
# Wahl zum 19. Deutschen Bundestag (24. September 2017)
# Endgültige Ergebnisse der Erst- und Zweitstimmen sowie der Vorperiode nach Wahlkreisen
# 
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;Christlich Demokratische Union Deutschlands;;;;Sozialdemokratische Partei Deutschlands;;;;DIE LINKE;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Christlich-Soziale Union in Bayern e.V.;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Piratenpartei Deutschland;;;;Nationaldemokratische Partei Deutschlands;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Ökologisch-Demokratische Partei;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Bayernpartei;;;;Ab jetzt...Demokratie durch Volksabstimmung;;;;Partei der Vernunft;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Bürgerrechtsbewegung Solidarität;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;DIE RECHTE;;;;Allianz Deutscher Demokraten;;;;Allianz für Menschenrechte, Tier- und Naturschutz;;;;bergpartei, die überpartei;;;;Bündnis Grundeinkommen;;;;DEMOKRATIE IN BEWEGUNG;;;;Deutsche Kommunistische Partei;;;;Deutsche Mitte;;;;Die Grauen – Für alle Generationen;;;;Die Urbane. Eine HipHop Partei;;;;Magdeburger Gartenpartei;;;;Menschliche Welt;;;;Partei der Humanisten;;;;Partei für Gesundheitsforschung;;;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;;;Bündnis C - Christen für Deutschland;;;;DIE EINHEIT;;;;Die Violetten;;;;Familien-Partei Deutschlands;;;;Feministische Partei DIE FRAUEN;;;;Mieterpartei;;;;Neue Liberale – Die Sozialliberalen;;;;UNABHÄNGIGE für bürgernahe Demokratie;;;;Übrige;;;;
143;Dortmund II;5;203300;206701;203300;206701;143834;137503;143834;137503;1945;1850;1418;1501;141889;135653;142416;136002;39933;43688;34822;39604;55038;63388;46513;55683;12242;9340;12924;10568;9047;9228;10190;11328;;;;;9031;2014;15403;5139;15074;;15510;5571;;4036;835;3322;;2741;460;1894;1524;1218;527;609;;;1297;;;;111;125;;;1532;643;;;;;;;148;297;;;;122;;;116;71;;;;21;;;13;33;;;;50;;;1030;;;;;;;;;;;;163;;;;203;;;;57;;;;140;;;;;;;;;;;;;;;;;;;;97;;;;173;;;;152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;922;
144;Unna I;5;197873;200068;197873;200068;150831;148119;150831;148119;1446;1843;1251;1504;149385;146276;149580;146615;47452;52433;40697;46794;58019;68287;50205;60019;8048;7749;10313;9127;9600;8242;10254;11567;;;;;9635;2514;17196;5850;13558;;14689;5525;1565;3535;804;3189;;2174;463;1505;941;1342;561;882;;;1376;;;;115;125;;;1146;557;;;;;;;165;309;;;;114;161;;88;55;;;;40;;;20;31;;;;29;;;717;;;;;;;;;;;;97;;;;122;;;;19;;;;143;;;;;;;;;;;;;;;;;;;;76;;;;166;;;;148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;406;;;897;
145;Hamm – Unna II;5;235213;238091;235213;238091;171524;167338;171524;167338;1956;2426;1789;1946;169568;164912;169735;165392;59700;64871;51475;60984;61717;71174;53467;63646;9949;9277;11837;10399;7409;8250;8938;9990;;;;;9970;3439;17678;6153;17713;;19068;5523;1871;3930;944;3465;;2913;547;2064;1239;1058;605;683;;;1336;;;;110;123;;;1170;555;;;;;;;173;298;;;;118;;;110;66;;;;21;;;17;33;;;;92;;;1384;;;;;;;;;;;;134;;;;141;;;;38;;;;144;;;;;;;;;;;;;;;;;;;;72;;;;194;;;;153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1179;
146;Soest;5;232301;232311;232301;232311;174364;167911;174364;167911;1872;2435;1290;1765;172492;165476;173074;166146;73595;82394;62764;74380;50458;55127;43184;50439;9756;8267;11702;8721;9459;9868;10723;11565;;;;;13681;3870;23296;8218;15311;;16165;5711;;3996;634;3410;;1954;310;1321;;;387;229;;;1207;;;;149;204;;;1183;467;;;;;;;159;333;;;;101;;;40;25;;;;32;;;11;52;;;;59;;;184;;;;;;;;;;;;168;;;;183;;;;28;;;;168;;;;;;;;;;;;;;;;;;;;78;;;;176;;;;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;232;;;879;
147;Hochsauerlandkreis;5;202768;205948;202768;205948;154014;151727;154014;151727;1399;2123;1200;1681;152615;149604;152814;150046;73185;83952;63651;74530;41047;44682;34865;42054;6452;6159;8183;7055;6476;6308;7198;7161;;;;;12893;2878;21919;7625;11115;;12216;5140;;3280;530;2940;;1708;324;1269;1447;637;841;533;;;930;;;;139;173;;;906;359;;;;;;;141;319;;;;88;;;47;22;;;;20;;;2;39;;;;22;;;268;;;;;;;;;;;;100;;;;98;;;;13;;;;119;;;;;;;;;;;;;;;;;;;;47;;;;156;;;;121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;697;
148;Siegen-Wittgenstein;5;212912;215751;212912;215751;162306;156569;162306;156569;1605;1812;1347;1673;160701;154757;160959;154896;64484;70833;54648;64307;48560;56510;42551;49563;9554;6891;12624;8920;6885;7808;8857;9937;;;;;11742;3383;19125;7327;15728;4744;17154;7653;;2732;566;2722;;1856;411;1759;;;410;243;;;1116;;1002;;578;286;2190;;1442;450;;;;;;;145;312;;;;101;;;41;41;;;;22;;;7;35;;;;30;;;492;;;;;;;;;;;;122;;;;131;;;;33;;;;142;;;;;;;;;;;;;;;;;;;;93;;;;130;;;;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;556;;;1188;
149;Olpe – Märkischer Kreis I;5;206716;210836;206716;210836;152542;150469;152542;150469;1782;1632;1253;1554;150760;148837;151289;148915;72158;76911;61394;71437;39699;48711;35269;42002;7197;5635;8205;7113;5170;5132;6866;7726;;;;;13230;3586;20758;7694;13306;3931;13847;6151;;2694;631;2708;;1692;417;1574;;545;371;505;;;975;;;;319;193;;;828;488;;;;;;;140;312;;;;101;;;40;22;;;;27;;;13;44;;;;20;;;482;;;;;;;;;;;;101;;;;128;;;;27;;;;139;;;;;;;;;;;;;;;;;;;;61;;;;151;;;;127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;798;
150;Märkischer Kreis II;5;200546;206189;200546;206189;145474;145197;145474;145197;3381;1695;1252;1637;142093;143502;144222;143560;53714;59768;49061;59536;54890;59821;37193;46318;11113;6926;9427;8463;5356;4498;7060;7971;;;;;15221;2792;19328;6431;;4709;16688;7122;;3114;604;3284;;1874;352;1620;;;421;389;;;1262;;;;134;145;;;931;625;;;;;;;187;363;;;;109;;;56;47;;;;18;;;14;31;;;;27;;;729;;;;;;;;;;;;130;;;;138;;;;15;;;;133;;;;;;;;;;;;;;;;;;;;59;;;;189;;;;111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1799;;;1061;
5;Nordrhein-Westfalen;99;13174577;13253554;13174577;13253554;9938461;9605247;9938461;9605247;124291;132654;85084;107090;9814170;9472593;9853377;9498157;3756952;4148811;3214013;3776563;3073698;3472520;2557876;3028282;626631;483918;736904;582925;641360;606235;744970;760642;;;;;787235;228962;1293052;498027;799777;171511;928425;372258;28162;220636;43580;209507;;95784;21287;94291;26201;18250;27788;25127;;;73941;;5331;2431;12044;12978;38617;5192;81576;37776;;;;;6316;1748;9631;17622;;;;6888;10466;4599;6425;4600;;1377;;1975;;;818;2155;;;;2245;;;41251;;;;;;;;;;;;9971;;;;12202;;1284;;2217;;;;9859;;;;;;;;;;;;;;;;;;;;5991;;;;9043;;;;10513;;;;;;;;;;984;;;;;461;;;;;;;;;;;;;;;;;;;11156;10158;;64296;
;
151;Nordsachsen;14;163916;168695;163916;168695;118170;112071;118170;112071;1732;2610;1607;1908;116438;109461;116563;110163;38207;49906;34321;49473;16248;22316;14519;16970;20028;23843;17173;22696;3070;3399;3021;3144;;;;;7641;2276;9189;2912;31244;;31301;6762;;2149;397;2141;;5572;1789;4272;;;1273;1158;;;1714;;;;167;;;;891;;;;;;;;;;;;;;;;99;104;;;60;137;;;;;;;;;;;;;;;;;;;;;;;340;;;;155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;394;
152;Leipzig I;14;220654;210456;220654;210456;161407;138427;161407;138427;1626;2028;1477;1633;159781;136399;159930;136794;43919;54566;37622;50481;26330;29511;20674;25286;31132;31923;31137;29122;8735;7683;11300;9466;;;;;9074;2307;13565;4028;32702;;33291;8394;;4043;850;4362;;4489;1169;3246;1876;;1443;1309;;;2877;;;;330;;4173;;3205;;;;;;;;;;;;;;;;247;203;550;1877;241;408;334;;;;;;;;;;;;;;;;;;;;;;876;;;;770;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;956;;;489;
153;Leipzig II;14;227718;219865;227718;219865;175198;153935;175198;153935;1562;2075;1414;1748;173636;151860;173784;152187;42778;52077;38111;49553;23787;35515;22725;28778;43948;37750;39058;34302;17273;13732;18154;17075;;;;;10052;2237;14866;4583;25968;;27774;7702;1325;3914;967;5897;;3096;678;2207;2034;;1302;1137;;;2555;;;;376;;5191;2347;4203;;;;;;;;;;;;;;407;;258;221;380;1192;199;349;;;;;;;;;;;;;;;;;;;;;;;1175;;;;884;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;493;;;383;
154;Leipzig-Land;14;215616;220400;215616;220400;161321;151537;161321;151537;2317;2797;1930;2332;159004;148740;159391;149205;54152;76273;47944;68348;18221;23542;18139;22681;24801;31865;23368;29716;6219;4905;5157;4899;;;;;10048;2890;12859;4292;45563;;42823;9562;;3199;505;2905;;6066;1793;4513;;;1580;1485;;;2298;;;;251;;;;1366;;;;;;;;;;;;;;;;168;137;;;100;172;;;;;;;;;;;;;;;;;;;;;;;510;;;;297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;495;
155;Meißen;14;201310;207261;201310;207261;152988;145679;152988;145679;2056;2706;2075;2490;150932;142973;150913;143189;55326;76666;39406;64622;13486;18090;13148;18024;19122;25279;20111;26735;5051;4817;5531;5721;;;;;7991;3461;13156;5253;46765;;49615;10195;;3600;579;3252;1928;6463;2279;5588;;;1585;1887;;;2119;;;;389;;;;1398;;;;;;;;;;;;;;;;119;136;1263;1618;312;494;;;;;;;;;;;;;;;;;;;;;;;601;;;;330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2979;;1282;
156;Bautzen I;14;213990;223726;213990;223726;161319;155255;161319;155255;2443;3252;2477;3242;158876;152003;158842;152013;48579;74794;42995;69335;15836;17268;14378;18502;24221;32452;22597;30290;3247;3709;3768;4249;;;;;9247;3948;12122;4723;52770;;52041;10811;;3035;602;3109;;7270;2371;6271;3562;4517;2569;3470;;;2171;;;;435;;;;1356;;;;;;;;;;;;;;;;138;146;635;;233;202;;;;;;;;;;;;;;;;;;;;;;;559;;;;312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;779;5010;;905;
157;Görlitz;14;213021;223614;213021;223614;156089;152944;156089;152944;2446;3261;2369;2983;153643;149683;153720;149961;48256;74204;41000;66106;16801;22741;14249;18839;20853;29550;21534;29380;4995;5045;4476;5044;;;;;7661;2442;10810;4185;49834;;50551;12331;;3878;516;3259;;8323;2337;6360;3521;;2464;2577;;;2285;;;;368;;;;1444;;;;;;;;;;;;;;;;128;172;1722;2069;362;685;;;;;;;;;;;;;;;;;;;;;;;658;;;;290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1431;;1023;
158;Sächsische Schweiz-Osterzgebirge;14;202580;207752;202580;207752;156342;147427;156342;147427;2443;2656;1967;2452;153899;144771;154375;144975;44354;72644;39581;66673;11100;15442;12040;15865;22614;27571;19708;24848;4575;4244;4643;5158;;;;;9933;2628;12795;4655;57554;;54749;11417;;2779;483;2980;;9625;2875;7370;;8382;2186;4705;;;1975;;;;456;;;;1278;;;;;;;;;;;;;;;;119;112;2319;1456;437;522;;;;;;;;;;;;;;;;;;;;;;;533;;;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1450;;;670;
159;Dresden I;14;232636;233382;232636;233382;182849;173167;182849;173167;2202;2802;1731;2031;180647;170365;181118;171136;44388;72537;44104;68192;23906;25321;19246;26440;37936;42599;31004;32505;11765;10429;13936;13517;;;;;13590;3305;18610;5243;40380;;41812;11814;1861;5217;1209;6086;991;5196;1284;3888;;4316;1371;2413;;;2203;;1481;;1002;;3680;;3022;;;;;;;;;;;;;;;;155;179;669;1180;320;457;;;;;;;;;;;;;;;;;;;;;;;811;;;;700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;265;;402;
160;Dresden II – Bautzen II;14;235464;235691;235464;235691;186818;173489;186818;173489;2125;3091;1654;2296;184693;170398;185164;171193;47185;71227;42792;66092;20593;25150;17977;23943;32397;32588;32040;31059;15839;16650;16588;16304;;;;;12843;3471;17684;5405;41202;;43126;11930;2697;7841;1501;7508;1160;5849;1372;4590;2768;6216;1927;3250;;;2530;;2141;;1100;;4997;;3850;;;;;;;;;;;;;;372;554;255;273;499;852;219;400;;;;;;;;;;;;;;;;;;;;;;;1041;;;;758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;439;
161;Mittelsachsen;14;201629;210677;201629;210677;150648;145578;150648;145578;1974;2592;1759;2204;148674;142986;148889;143374;48230;74209;41189;64971;17782;22079;14487;19070;20785;29079;21582;29525;4626;4583;4112;4703;;;;;8652;3203;11767;4933;46827;;46522;8997;;3131;651;3042;;6702;1967;5305;;;1549;1848;;;1960;;;;350;;;;1442;;;;;;;;;;;;;;;;154;139;1772;;384;207;;;;;;;;;;;;;;;;;;;;;;;346;;;;253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;634;
162;Chemnitz;14;195929;201249;195929;201249;147218;135876;147218;135876;1665;1701;1347;1348;145553;134175;145871;134528;38653;55909;36270;52380;22413;28101;17373;23558;28213;31992;28010;31014;6157;6475;6818;7168;;;;;9535;2724;12184;3865;34958;;35456;8138;1403;2808;874;3298;;4661;1149;3135;;;1068;1081;;;2042;;;;308;;3432;1505;2746;;;;;;;;;;;;;;;;156;184;789;;255;170;;;;;;;;;;;;;;;;;;;;;;;478;;;;407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;537;
163;Chemnitzer Umland – Erzgebirgskreis II;14;183483;191550;183483;191550;138891;134560;138891;134560;2221;3115;1708;2125;136670;131445;137183;132435;48012;65157;41947;59939;14142;20517;14524;19178;23174;28783;20972;26434;4609;4874;3850;4282;;;;;10345;3006;10542;3594;36388;;36746;9636;;2903;513;2522;;6205;1686;4307;;;1838;1760;;;1830;;;;289;;;;1471;;;;;;;;;;;;;;;;103;121;;;86;158;;;;;;;;;;;;;;;;;;;;;;;349;;;;265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;504;
164;Erzgebirgskreis I;14;220917;232499;220917;232499;166701;161718;166701;161718;3149;3800;2730;2968;163552;157918;163971;158750;56716;79318;50759;73098;14707;19143;15452;20114;24808;32472;23090;30741;4334;5051;3661;3964;;;;;11820;10246;12106;5828;49465;;47952;12119;;3263;531;3008;;8425;2727;6398;;;2343;2551;;;2354;;;;378;;;;1424;;;;;;;;;;;;;;;;121;133;;;98;183;;;;;;;;;;;;;;;;;;;;;;;493;;;;269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1702;;;613;
165;Zwickau;14;207606;217679;207606;217679;150950;148305;150950;148305;7570;2723;2121;2251;143380;145582;148829;146054;48347;64857;45106;64872;18219;23033;16131;21686;36881;35847;24665;31061;6513;4334;4327;4653;;;;;19181;3996;11253;3924;;;38964;8878;;2744;463;2589;;5918;1302;4664;;3823;1674;2690;;;2162;;;;299;;;;1408;;;;;;;;;;;;;;;;202;175;;1030;105;384;;;;;;;;;;;;;;;;;;;;;;;326;;;;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14239;;;478;
166;Vogtlandkreis;14;193081;201934;193081;201934;142775;138790;142775;138790;2420;2656;1914;2095;140355;136134;140861;136695;49104;65743;42604;60466;15538;28172;16043;21885;21809;26707;22578;27617;5292;3540;4266;4569;;;;;7836;3533;10154;3836;36428;;37217;9095;;2746;415;2603;;5693;1437;4322;;;1299;1537;;;2046;;;;311;;;;1495;;;;;;;;;;;;;;;;144;129;;;79;148;;;;;;;;;;;;;;;;;;;;;;;355;;;;255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4348;;;488;
14;Sachsen;99;3329550;3406430;3329550;3406430;2509684;2368758;2509684;2368758;39951;43865;30280;36106;2469733;2324893;2479404;2332652;756206;1080087;665751;994601;289109;375941;261105;340819;432722;500300;398627;467045;112300;103470;113608;113916;;;;;165449;55673;203662;71259;628048;;669940;157781;7286;57250;11056;58561;4079;99553;28215;76436;13761;27254;27471;34858;;;35121;;3622;;6809;;21473;3852;31999;;;;;;;;;;;;;;779;554;2566;2564;10598;11274;3490;5076;334;;;;;;;;;;;;;;;;;;;;;;9451;;;;6475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23967;9685;;9736;
;
167;Waldeck;6;186825;189728;186825;189728;142852;138632;142852;138632;2214;4931;2119;4216;140638;133701;140733;134416;47269;55444;42232;49063;49341;55217;43446;48420;8600;7253;9891;7356;8062;8486;9660;10872;;;;;9930;3579;13918;6452;15438;;16411;6774;;3177;497;2242;;;442;1159;1910;;1268;1013;;;1329;;;;127;;;;900;525;;;;;;;;;;;;;;;45;33;;;17;47;;;;71;;;;;;;;;;;;;;;;;;;203;;;;;;;;17;;;;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88;545;;389;
168;Kassel;6;222451;224555;222451;224555;167855;160695;167855;160695;2577;5232;2452;4216;165278;155463;165403;156479;44425;54674;41736;48361;58759;62178;46769;53232;14472;13066;18677;13680;15466;16559;18935;19884;;;;;9759;3192;15046;6259;16501;;17288;7977;1222;4624;794;3575;;;417;1218;1311;;1003;839;;;1590;;;;224;;2180;;1589;796;;;;;;;;;;;;;313;325;184;165;;;29;51;;;;89;;;;;;;;;;;;;;;;;;;488;;;;;;;;59;;;;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;870;845;;353;
169;Werra-Meißner – Hersfeld-Rotenburg;6;175992;180203;175992;180203;133726;131446;133726;131446;2494;4632;2659;4193;131232;126814;131067;127253;39302;51386;38531;45872;54033;54630;42737;46913;7281;7277;8746;7584;5236;6333;7843;8868;;;;;6594;2513;11096;5014;16411;;17173;7096;;2283;430;1954;;2392;608;2013;2375;;1229;961;;;1031;;;;135;;;;854;521;;;;;;;;;;;;;;;35;41;;;27;55;;;;55;;;;;;;;;;;;;;;;;;;202;;;;;;;;33;;;;210;;;;;;;;;;;;;;;;;;;;;;;;;;;;147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;306;
170;Schwalm-Eder;6;188074;191354;188074;191354;145743;141665;145743;141665;2656;4836;2691;4684;143087;136829;143052;136981;43514;54162;41795;48747;53892;57944;44847;50052;7852;6890;9270;7442;8003;7884;9436;10498;;;;;9298;3005;13118;6362;17198;;18504;7394;;2771;519;2306;;2019;652;1532;3330;2154;1968;1592;;;1287;;;;128;;;;935;529;;;;;;;;;;;;;;;26;32;;;20;46;;;;58;;;;;;;;;;;;;;;;;;;180;;;;;;;;33;;;;173;;;;;;;;;;;;;;;;;;;;;;;;;;;;161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;391;
171;Marburg;6;183296;184686;183296;184686;142365;130945;142365;130945;1799;2943;1579;3036;140566;128002;140786;127909;46888;50683;42377;46993;50214;55982;37202;42749;11557;6746;14420;8720;8989;7595;13088;13443;;;;;6044;2229;12191;5111;14378;;16125;5858;;2581;527;2206;;1459;357;1034;2005;;950;593;;;1148;;;;312;;;727;1296;645;;;;;;;;;;;;;;;45;26;;;33;47;;;;62;;;;;;;;;;;;;;;;;;;297;;;;;;;;64;;;;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;491;;;422;
172;Lahn-Dill;6;208744;210867;208744;210867;155002;146943;155002;146943;2448;4108;2201;3840;152554;142835;152801;143103;58417;68666;51125;59760;45375;49213;37794;43406;7116;6603;10210;7433;8909;8647;10768;10600;;;;;9590;3033;14821;6323;17874;;20931;8315;;3265;534;2533;773;2867;897;2253;1789;;1564;1250;;;1437;;;;361;;2024;;1429;566;;;;;;;;;;;;;;;40;37;;;31;63;;;;63;;;;;;;;;;;;;;;;;;;234;;;;;;;;53;;;;399;;;;;;;;;;;;;;;;;;;;;;;;;;;;173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;687;541;;501;
173;Gießen;6;217806;215246;217806;215246;166621;156652;166621;156652;2463;4350;2308;3929;164158;152302;164313;152723;57610;67587;49518;59062;46216;54028;39252;45299;10346;7802;13798;9928;13619;11186;15898;14759;;;;;12641;4543;16926;7553;18918;;20358;7444;;3949;654;3268;603;2483;751;1977;3190;;2170;1982;;;1572;;;;384;;;;1967;759;;;;;;;;;;;;;405;;109;59;;;44;93;;;;84;;;;;;;;;;;;;;;;;;;271;;;;;;234;;119;;;;254;;;;;;;;;;;;;;;;;;;;;;;;;;;;268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;376;724;;456;
174;Fulda;6;209966;209960;209966;209960;161981;154025;161981;154025;2682;4429;3299;3795;159299;149596;158682;150230;71946;87263;61811;76778;32150;37352;28745;33218;7669;6869;9266;6900;8874;8125;10593;10058;;;;;8437;3605;17122;7313;27990;;25145;8711;;3390;427;2715;576;2992;663;2190;1657;;1178;1033;;;1318;;;;346;;;;1189;578;;;;;;;;;;;;;;;36;25;;;25;64;;;;71;;;;;;;;;;;;;;;;;;;277;;;;;;;;30;;;;295;;;;;;;;;;;;;;;;;;;;;;;;;;;;216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;576;
175;Main-Kinzig – Wetterau II – Schotten;6;179307;180491;179307;180491;138193;131010;138193;131010;2324;4237;2167;3996;135869;126773;136026;127014;49479;61911;43147;52305;38462;41061;32069;35313;8007;6739;8938;6934;7346;6815;9614;9720;;;;;8326;2963;14144;6516;20172;;20927;8098;;3746;549;2666;1212;3538;1249;2662;2865;;1590;1325;;;1668;;;;249;;;;1142;630;;;;;;;;;;;;;;;37;25;;;42;72;;;;74;;;;;;;;;;;;;;;;;;;208;;;;;;;;22;;;;222;;;;;;;;;;;;;;;;;;;;;;;;;;;;209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;674;
176;Hochtaunus;6;181516;182026;181516;182026;146315;139886;146315;139886;2055;2911;1706;3003;144260;136975;144609;136883;57579;66785;48436;58822;33201;38435;28947;33846;8556;5482;9562;6358;12884;10064;14074;12690;;;;;14954;4866;21713;10334;15075;7748;16132;9447;;2194;476;2266;;934;388;1024;2011;;1090;876;;;1751;;;;218;;;;1079;510;;;;;;;;;;;;;;;31;18;;;26;51;;;;38;;;;;;;;;;;;;;;;;;;238;;;;;;;;24;;;;202;;;;;;;;;;;;;;;;;;;;;;;;;;;;222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;467;;603;
177;Wetterau I;6;176435;175085;176435;175085;138853;131480;138853;131480;1932;3710;1633;3331;136921;127770;137220;128149;49891;60118;43951;52419;39773;40805;31152;34937;6719;6174;9249;6615;11368;9497;13002;11991;;;;;11047;3527;17462;7586;14987;;15895;7608;;2863;544;2535;719;2364;811;1860;2417;2422;1299;1440;;;1632;;;;229;;;;1199;604;;;;;;;;;;;;;;;24;23;;;27;110;;;;57;;;;;;;;;;;;;;;;;;;233;;;;;;;;23;;;;249;;;;;;;;;;;;;;;;;;;;;;;;;;;;239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;364;
178;Rheingau-Taunus – Limburg;6;220342;220668;220342;220668;173627;165788;173627;165788;2289;3756;2002;3864;171338;162032;171625;161924;71555;84489;59346;73599;43427;47152;35604;40718;9394;6300;11069;7290;12020;9119;15273;13955;;;;;13053;3726;22650;10139;17439;6913;20399;9469;;2869;556;2884;;1464;443;1476;4450;;1794;1126;;;1827;;;;238;;;;1447;611;;;;;;;;;;;;;;;40;42;;;30;57;;;;67;;;;;;;;;;;;;;;;;;;318;;;;;;;;32;;;;265;;;;;;;;;;;;;;;;;;;;;;;;;;;;294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;491;
179;Wiesbaden;6;189372;189698;189372;189698;139775;132335;139775;132335;1810;2705;1546;2652;137965;129630;138229;129683;47309;56466;40022;50187;39396;45311;29247;36041;10558;6097;13160;7668;12321;9784;16286;15133;;;;;9693;3296;18400;8801;14417;5176;15496;6550;841;2224;578;2531;;941;222;865;1467;;943;665;;;1196;;;;297;;1963;;1360;525;;;;;;;;;;;;;;;75;52;;335;54;151;;;;38;;;;;;;;;;;;;;;;;;;341;;;;;;;;26;;;;273;;;;;;;;;;;;;;;;;;;;;;;;;;;;253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;476;
180;Hanau;6;177469;177413;177469;177413;134190;128280;134190;128280;2131;4179;1867;3786;132059;124101;132323;124494;46656;54920;39126;48828;40185;45184;31150;35650;7715;7069;10006;7630;8054;7217;11345;11183;;;;;8418;3053;15185;6611;16907;;18626;7356;;2985;568;2549;540;2625;636;1899;1679;;1024;847;;;2008;;;;240;;1905;1048;1237;876;;;;;;;;;;;;;;;58;28;;;32;73;;;;65;;;;;;;;;;;;;;;;;;;231;;;;;;;;72;;;;515;;;;;;;;;;;;;;;;;;;;;;;;;;;;264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;899;
